"dti","annual_inc","revol_util","delinq_2yrs","loan_amnt"
18.24,55000,10.3,0,2500
10.51,59280,19.1,0,5000
26.35,57250,3.6,0,30000
30.1,65000,69.3,0,6000
21.16,53580,35.2,0,5000
15.94,50000,94.4,1,5500
22.01,70000,55.9,0,28000
23.6,65000,16.6,0,11200
11.19,65000,0.5,0,22000
6.26,23878,54.4,0,25000
10.62,65000,74,0,10000
10.58,55000,82.2,0,13000
23.01,65000,37.5,1,9600
9.09,40000,33.5,0,3500
0.52,68107,13,0,23000
19.23,40000,55.5,0,12000
21.91,51000,24.8,0,16000
14.32,49700,26.5,0,3300
9.53,47590,84.1,0,20000
19.71,33190,69.5,0,3500
12.87,40000,29.8,0,6000
14.16,70000,77.8,1,2200
12.64,53000,83.4,0,25000
12.24,20000,3.9,0,4000
9.9,52000,28.9,0,1250
20.92,56099,9.8,0,10400
28.26,32700,44.1,0,7500
24.88,30000,23.8,0,25000
32.64,60000,73,1,9600
23.55,24000,50.3,0,12000
31.02,40000,48,7,20000
20.61,40000,17.8,0,26000
27.52,63500,41,0,25000
19.9,50000,99.3,0,1000
32.65,35000,15.6,0,9000
16.66,52000,33.9,0,15500
30.03,50000,27.2,0,3000
13.05,65000,41.6,1,12000
21.36,60000,49.7,0,3000
19.49,42300,21,0,8000
18.47,56000,38.2,0,22400
23.55,45000,64.8,2,27000
24.29,50000,40.3,0,6500
0,50000,0,0,21000
15.25,47000,58.2,0,10000
16.11,50000,33.7,0,7500
16.44,40000,38.4,0,30000
3.75,40000,10.4,0,6000
17.79,50000,65.2,0,16000
18.86,60000,49.2,0,15000
26.08,70000,80,0,25000
8.12,65000,27.1,0,30000
10.65,55000,91.2,0,6000
15.6,35000,60.9,0,10000
9.34,37000,4.3,0,4000
12.81,40000,35.2,0,18000
15.89,21000,36.4,0,2525
21.26,52000,60.4,0,16000
24.2,30000,53.8,0,3000
26.58,56160,0,0,1500
3.35,50000,23.5,1,5000
2.57,29000,33.6,0,2500
18.76,62000,17.6,0,12000
20.89,52000,40.5,0,7000
23.92,49400,30.7,0,8000
19.84,38000,37.6,0,8000
21.29,19000,31.1,0,4000
7.31,33000,19.2,0,3000
32.69,21000,12.2,0,8800
30.57,36000,2.1,1,10500
29.36,65000,64.1,0,25000
16.06,39000,28.9,0,12000
26.42,68000,63.6,0,8250
17.66,60000,0.3,0,20000
18.96,70000,61.8,0,12000
9.64,54000,55.3,0,4000
20.17,70000,26.6,0,32000
18.12,60000,33.1,0,18000
18.65,63000,97.2,2,10000
16.11,50000,17.4,0,3600
27.38,70000,87,0,10450
9.66,40000,17.5,0,5000
7.4,66150,40.2,0,10475
13.51,55000,53.9,0,10000
31.61,40500,16.3,0,7500
31.03,56000,28.6,0,4000
23.62,50000,10.7,0,30000
21.38,70000,15.4,0,20000
4.64,38500,15.3,0,4500
